Company Name,Employment Status,Experience Cat,job_category_id,Location,Min Experience,Bonus,Gratuity,Insurance,Mobile Bill,Provident Fund,job title,vacancy,Degree,In Dhaka,avg_salary,avg_age,Gender
Anwar Landmark Limited,full_time,mid,1,Motijheel,2,TRUE,FALSE,FALSE,TRUE,FALSE,Executive - Inventory,1,other,FALSE,33750,30,1
MAK-INNO Development Ltd.,full_time,entry,1,Dhanmondi 27,1,TRUE,FALSE,TRUE,TRUE,FALSE,Sr. Executive - Accounts & Finance,2,other,FALSE,33750,30,3
A Reputed Financial Company.,full_time,unknown,1,Sylhet,3,FALSE,FALSE,FALSE,FALSE,FALSE,Financial Associate,2,other,FALSE,33750,30,3
BRAC Enterprises,full_time,senior,1,Dhaka,10,FALSE,FALSE,FALSE,FALSE,FALSE,"AGM/ DGM, Finance and Accounts (BRAC Seed and Agro Enterprises)",2,professional,TRUE,33750,30,3
Reputed Packaging Manufacturing Industry,full_time,senior,1,Barishal Sadar,10,TRUE,TRUE,FALSE,TRUE,TRUE,Head of VAT,1,masters,FALSE,33750,30,1
Al Fatah Publications,full_time,entry,1,Malibagh,1,FALSE,FALSE,FALSE,FALSE,FALSE,Executive,1,other,FALSE,33750,30,1
A Renowned Company,full_time,mid,1,Dhanmondi,2,TRUE,FALSE,FALSE,TRUE,FALSE,Accounts Officer,2,masters,FALSE,27500,30,1
Al-Helal Specialized Hospital Ltd.,full_time,mid,1,Dhaka,3,FALSE,FALSE,FALSE,FALSE,FALSE,"Executive, Store",2,other,TRUE,33750,30,3
Al-Helal Specialized Hospital Ltd.,full_time,mid,1,Dhaka,2,FALSE,FALSE,FALSE,FALSE,FALSE,Billing Executive,2,masters,TRUE,33750,30,1
AnH Enterprise Limited,full_time,senior,1,Adabor,8,TRUE,FALSE,FALSE,TRUE,FALSE,"HEAD OF ACCOUNTS, FINANCE & AUDIT",1,bachelors,FALSE,33750,35,1
A Leading Garments Industry,full_time,mid,1,Ashulia,4,FALSE,FALSE,FALSE,FALSE,FALSE,Sr. Executive/ Asst. Manager- Accounts (Garments),1,other,FALSE,33750,31.5,1
Securex Pvt. Ltd.,full_time,unknown,1,Motijheel,3,TRUE,FALSE,FALSE,TRUE,FALSE,Cash Officer,30,other,FALSE,11500,35,1
DAM Foundation for Economic Development (DFED),full_time,senior,1,Dhaka,10,FALSE,FALSE,FALSE,FALSE,FALSE,Assistant General Manager (Audit),1,professional,TRUE,88230,30,3
DAM Foundation for Economic Development (DFED),full_time,senior,1,Dhaka,10,FALSE,FALSE,FALSE,FALSE,FALSE,"Assistant General Manager (Finance & Accounts, Field)",1,professional,TRUE,88230,30,3
DAM Foundation for Economic Development (DFED),full_time,unknown,1,Anywhere in Bangladesh,3,FALSE,FALSE,FALSE,FALSE,FALSE,হিসাবরক্ষক,2,masters,FALSE,29700,28.5,3
THE TUFTED PUFFIN LTD.,full_time,senior,1,Dhamrai,5,FALSE,FALSE,FALSE,FALSE,FALSE,Executive Officer (Account),1,other,FALSE,33750,34,3
Remake Ltd.,full_time,senior,1,Dhanmondi,5,TRUE,FALSE,FALSE,TRUE,TRUE,Accounts Officer,1,bachelors,FALSE,25000,33.5,3
"Dhaka Ahsania Mission, Health Sector",full_time,mid,1,Ashulia,2,FALSE,FALSE,FALSE,FALSE,FALSE,Admin and Accounts Officer,1,masters,FALSE,25000,40,3
